Date,"HPI for houses, index"
12/1998,689.8
03/1999,701.1
06/1999,705.0
09/1999,705.8
12/1999,705.2
03/2000,704.7
06/2000,697.7
09/2000,697.1
12/2000,696.6
03/2001,701.1
06/2001,699.5
09/2001,705.9
12/2001,717.9
03/2002,736.8
06/2002,751.9
09/2002,773.5
12/2002,800.6
03/2003,842.4
06/2003,871.1
09/2003,937.6
12/2003,1000.0
03/2004,1041.1
06/2004,1066.1
09/2004,1090.9
12/2004,1124.9
03/2005,1180.0
06/2005,1214.4
09/2005,1250.7
12/2005,1299.9
03/2006,1324.0
06/2006,1336.8
09/2006,1369.9
12/2006,1418.3
03/2007,1479.2
06/2007,1520.0
09/2007,1525.7
12/2007,1531.1
03/2008,1521.3
06/2008,1452.9
09/2008,1422.7
12/2008,1394.8
03/2009,1382.9
06/2009,1406.6
09/2009,1437.7
12/2009,1467.8
03/2010,1469.4
06/2010,1454.7
09/2010,1445.1
12/2010,1444.1
03/2011,1447.1
06/2011,1452.4
09/2011,1473.6
12/2011,1477.5
03/2012,1493.4
06/2012,1510.4
09/2012,1540.6
12/2012,1572.4
03/2013,1608.8
06/2013,1645.0
09/2013,1697.0
12/2013,1714.9
03/2014,1734.1
06/2014,1749.1
09/2014,1778.5
12/2014,1834.8
03/2015,1891.5
06/2015,1956.1
09/2015,2045.2
12/2015,2059.6
03/2016,2135.6
06/2016,2248.8
09/2016,2333.3
12/2016,2355.0
03/2017,2391.1
06/2017,2394.8
09/2017,2421.9
12/2017,2448.9
03/2018,2480.9
06/2018,2480.9
09/2018,2494.8
12/2018,2517.2
03/2019,2525.7
06/2019,2517.8
09/2019,2565.2
12/2019,2632.6
03/2020,2722.1
06/2020,2695.6
09/2020,2838.5
12/2020,3080.9
03/2021,3379.1
06/2021,3495.0
