90 day bank bill  rate,OCR
4.47,0
4.47, 0
4.30, 0
4.59,4.50
4.64,4.50
4.67,4.50
4.74,4.50
4.72,4.50
4.77,4.50
4.94,4.50
5.10,4.50
5.35,5.00
5.67,5.00
5.68,5.25
5.93,5.25
6.26,5.75
6.49,6.00
6.77,6.50
6.88,6.50
6.83,6.50
6.74,6.50
6.66,6.50
6.65,6.50
6.64,6.50
6.71,6.50
6.53,6.50
6.48,6.50
6.25,6.25
5.97,6.00
5.79,5.75
5.82,5.75
5.79,5.75
5.83,5.75
5.57,5.25
5.15,5.25
4.87,4.75
4.86,4.75
4.86,4.75
4.93,4.75
5.31,5.00
5.68,5.25
5.83,5.50
5.96,5.50
6.00,5.75
5.87,5.75
5.86,5.75
5.88,5.75
5.90,5.75
5.92,5.75
5.86,5.75
5.82,5.75
5.81,5.75
5.73,5.50
5.38,5.50
5.23,5.25
5.11,5.00
5.11,5.00
5.15,5.00
5.19,5.00
5.37,5.00
5.32,5.00
5.35,5.25
5.59,5.25
5.54,5.25
5.59,5.50
5.90,5.50
6.07,5.75
6.25,6.00
6.44,6.00
6.64,6.25
6.75,6.50
6.72,6.50
6.71,6.50
6.76,6.50
6.83,6.50
6.99,6.75
7.05,6.75
7.05,6.75
7.03,6.75
7.03,6.75
7.03,6.75
7.09,6.75
7.28,7.00
7.54,7.00
7.66,7.25
7.64,7.25
7.53,7.25
7.49,7.25
7.47,7.25
7.49,7.25
7.47,7.25
7.48,7.25
7.49,7.25
7.56,7.25
7.66,7.25
7.61,7.25
7.66,7.25
7.70,7.25
7.75,7.25
7.88,7.50
7.98,7.75
8.09,7.75
8.32,8.00
8.44,8.25
8.72,8.25
8.81,8.25
8.68,8.25
8.73,8.25
8.90,8.25
8.75,8.25
8.82,8.25
8.91,8.25
8.87,8.25
8.71,8.25
8.68,8.25
8.46,8.00
8.20,8.00
7.95,7.50
7.43,6.50
6.25,6.50
5.23,5.00
4.38,3.50
3.40,3.50
3.24,3.00
3.12,2.50
2.82,2.50
2.78,2.50
2.79,2.50
2.76,2.50
2.77,2.50
2.79,2.50
2.80,2.50
2.78,2.50
2.78,2.50
2.73,2.50
2.67,2.50
2.69,2.50
2.89,2.50
3.07,2.75
3.23,3.00
3.25,3.00
3.18,3.00
3.18,3.00
3.17,3.00
3.17,3.00
3.19,3.00
3.13,3.00
2.69,2.50
2.65,2.50
2.66,2.50
2.65,2.50
2.71,2.50
2.90,2.50
2.88,2.50
2.76,2.50
2.69,2.50
2.69,2.50
2.74,2.50
2.75,2.50
2.74,2.50
2.74,2.50
2.59,2.50
2.61,2.50
2.67,2.50
2.64,2.50
2.64,2.50
2.65,2.50
2.64,2.50
2.65,2.50
2.66,2.50
2.66,2.50
2.64,2.50
2.65,2.50
2.64,2.50
2.64,2.50
2.64,2.50
2.64,2.50
2.65,2.50
2.67,2.50
2.66,2.50
2.73,2.50
2.88,2.50
2.93,2.50
3.05,2.75
3.24,3.00
3.38,3.00
3.52,3.25
3.67,3.50
3.69,3.50
3.71,3.50
3.68,3.50
3.67,3.50
3.67,3.50
3.67,3.50
3.63,3.50
3.63,3.50
3.63,3.50
3.53,3.50
3.33,3.25
3.13,3.00
2.95,3.00
2.85,2.75
2.86,2.75
2.89,2.75
2.79,2.50
2.73,2.50
2.62,2.50
2.43,2.25
2.34,2.25
2.38,2.25
2.37,2.25
2.37,2.25
2.24,2.00
2.23,2.00
2.15,2.00
2.07,1.75
2.03,1.75
1.98,1.75
2.02,1.75
1.98,1.75
1.97,1.75
1.98,1.75
1.95,1.75
1.96,1.75
1.95,1.75
1.95,1.75
1.94,1.75
1.93,1.75
1.88,1.75
1.88,1.75
1.91,1.75
1.93,1.75
2.01,1.75
2.02,1.75
2.01,1.75
1.94,1.75
1.91,1.75
1.90,1.75
1.89,1.75
1.98,1.75
1.98,1.75
1.91,1.75
1.90,1.75
1.88,1.75
1.81,1.75
1.72,1.50
1.60,1.50
1.55,1.50
1.25,1.00
1.15,1.00
1.05,1.00
1.18,1.00
1.23,1.00
1.27,1.00
1.18,1.00
0.71,0.25
0.39,0.25
0.26,0.25
0.28,0.25
0.30,0.25
0.29,0.25
0.30,0.25
0.27,0.25
0.27,0.25
0.26,0.25
0.28,0.25
0.28,0.25
0.33,0.25
0.34,0.25
0.35,0.25
0.33,0.25

